"listing_id","listing","advertised_price","distance_miles","distance_band","beds","manual_classification","evidence_note","reviewed_date","prior_text_judgment","prior_text_audit_status","prior_text_evidence","saved_photo_count","original_listing_url"
"ocp90bdzb4","Brick Bungalow close to Campus","$1,050","3.544",">3–5 mi","1 Bed","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","Private bedroom and bathroom with door that locks includes a living space with a reading/studying nook, Nespresso machine, mini fridge, and microwave allowing for privacy.","14","https://offcampus.dasa.ncsu.edu/housing/property/brick-bungalow-close-to-campus/ocp90bdzb4"
"ocpq99qjpx","Apartment close to NCSU","$645","1.653317243",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Yes — explicit","Confirmed exclusive bedroom","A private bedroom with en-suite bathroom is available in a well-maintained 4-bedroom condo just minutes from NC State University!","11","https://offcampus.dasa.ncsu.edu/housing/property/apartment-close-to-ncsu/ocpq99qjpx"
"ocps6ymwl7","University Woods","$600","2.123645671",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","This is a single room available in a 4-bedroom 4-bathroom unit with shared living/dining room area and kitchen.","5","https://offcampus.dasa.ncsu.edu/housing/property/university-woods/ocps6ymwl7"
"9m73sq5","Room in Townhome on Macedonia Lake Dr","$800","4.037",">3–5 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Room for rent: Beautiful spacious 3 bed 4 bathroom townhome with lot of windows and natural Sun light in every room is waiting to be your next home.","17","https://offcampus.dasa.ncsu.edu/housing/property/room-in-townhome-on-macedonia-lake-dr/9m73sq5"
"ocpvgtpebg","Lake Park Condos- Room Rental with Utilities","$500 - $600","1.637356936",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Lake Park Condos- Room Rental with Utilities","15","https://offcampus.dasa.ncsu.edu/housing/property/lake-park-condos-room-rental-with-utilities/ocpvgtpebg"
"5hme2mn","The Station Raleigh","$749 - $1,930","2.173712249",">1–3 mi","1 - 4 Beds","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","The Station offers 1, 3, and 4 bedrooms, ensuring there is something for everyone.","25","https://offcampus.dasa.ncsu.edu/housing/property/the-station-raleigh/5hme2mn"
"lpl9fce","2850 Sanderford Rd (Raleigh, NC)","$650","4.773",">3–5 mi","1 Bed","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","2850 Sanderford Rd (Raleigh, NC)","5","https://offcampus.dasa.ncsu.edu/housing/property/2850-sanderford-rd-raleigh-nc/lpl9fce"
"ocpd9wnxdk","$3600 saving on 2*2 Sublet at Stanhope Apartment for NC STATE","$550","0.702468111","0–1 mi","1 Bed","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","$3600 saving on 2*2 Sublet at Stanhope Apartment for NC STATE","1","https://offcampus.dasa.ncsu.edu/housing/property/3600-saving-on-2-2-sublet-at-stanhope-apartment-for-nc-state/ocpd9wnxdk"
"ocp67ldb5s","The Wilde","$860","2.038270328",">1–3 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Each bedroom has its own full bathroom, closet, bed frame, and desk.","5","https://offcampus.dasa.ncsu.edu/housing/property/the-wilde/ocp67ldb5s"
"ocp0psn632","An apartments with 3 bed and 3 bath for NC State Students www.ncstudentsliving.com","$650","2.262000465",">1–3 mi","3 Beds","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Each bedroom has a private bathroom and walk-in closet.","6","https://offcampus.dasa.ncsu.edu/housing/property/an-apartments-with-3-bed-and-3-bath-for-nc-state-students-www-ncstudentsliving-com/ocp0psn632"
"ocpk5yz73b","Stanhope Student Apartments","$1,300","0.702468111","0–1 mi","1 Bed","Private bedroom","","2026-09-20","Unknown","Unclear from saved text","Stanhope Student Apartments","2","https://offcampus.dasa.ncsu.edu/housing/property/stanhope-student-apartments/ocpk5yz73b"
"ocp5lwrmvq","Convenient Kaplan Dr property near NCSU buses, park, grocery, with parking space & private bathroom","$675","0.716855117","0–1 mi","1 Bed","Private bedroom","","2026-09-20","Probably","Likely exclusive, not explicit","Fully furnished (mattress, bedframe, bookcases, desk, black-out curtains).","8","https://offcampus.dasa.ncsu.edu/housing/property/convenient-kaplan-dr-property-near-ncsu-buses-park-grocery-with-parking-space-and-private-bathroom/ocp5lwrmvq"
