site_id,property_name,category_id,category_name,amenity_id,amenity_name
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Unit Features","Unit Features","82","Garbage Disposal"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Unit Features","Unit Features","21","Hardwood Floors"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Unit Features","Unit Features","303","High-Speed Internet Available"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Unit Features","Unit Features","41","Smoke-Free"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Community Features","Community Features","46","Individual Leases"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Laundry","Laundry","9","Washer/Dryer in Unit"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Convenient For","Convenient For","981","Undergraduates"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Convenient For","Convenient For","982","Graduate Students"
"ocpchygggd","Hurry 2 Rooms Left! – 4BR/4BA Condo Near NC State  – All Utilities & Internet Included!","Convenient For","Convenient For","983","Faculty/Staff"
"es0855q","Maxwell Raleigh","Community Features","Community Features","45","Fitness Room"
"es0855q","Maxwell Raleigh","Convenient For","Convenient For","981","Undergraduates"
"es0855q","Maxwell Raleigh","Convenient For","Convenient For","982","Graduate Students"
"es0855q","Maxwell Raleigh","Convenient For","Convenient For","983","Faculty/Staff"
"es0855q","Maxwell Raleigh","Unique Features","Unique Features","","Fitness Center - Cardio"
"es0855q","Maxwell Raleigh","Unique Features","Unique Features","","Fitness Center - Strength Training"
"es0855q","Maxwell Raleigh","Unique Features","Unique Features","","Study Room - Large"
"es0855q","Maxwell Raleigh","Unique Features","Unique Features","","Study Room - Small"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Unit Features","Unit Features","1","Air Conditioning"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Unit Features","Unit Features","26","Dishwasher"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Unit Features","Unit Features","80","Extra Storage"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Unit Features","Unit Features","7","Furnished"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Unit Features","Unit Features","82","Garbage Disposal"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Unit Features","Unit Features","303","High-Speed Internet Available"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Unit Features","Unit Features","6","Patio, Balcony, Porch or Deck"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Unit Features","Unit Features","41","Smoke-Free"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Security","Security","99","Exterior Lighting"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Community Features","Community Features","46","Individual Leases"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Community Features","Community Features","43","International Student Friendly"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Community Features","Community Features","19","Near Bus Stop"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Community Features","Community Features","10","Pool"
"ocpesl9n3p","maisonNC --- Fully Furnished minutes away from Wolfline and Shopping","Laundry","Laundry","9","Washer/Dryer in Unit"
